titulo,status,cidade,estado,texto_preview,link,nota_cliente,categoria
Solicitação de exclusão de apontamento indevido junto ao Serasa devido a registro de débito superior a 5 anos,NÃO RESPONDIDA,Salvador,BA,"**Assunto: Solicitação de exclusão imediata de apontamento indevido junto ao Serasa**

Prezados,

Venho, por meio desta, formalizar reclamação referente à manutenção indevida de meu nome nos cadastros de restrição ao crédito do Serasa.

Constatei que existe registro de débito vinculado ao meu CPF cuja origem remonta a período superior a 5 (cinco) anos. Conforme a legislação brasileira, especialmente o artigo 43, 1, do Código de Defesa do Consumidor, informações negativas não podem permanecer registradas em cadastros de proteção ao crédito por prazo superior a cinco anos.

Dessa forma, a permanência dessa anotação configura irregularidade e causa prejuízos à minha reputação financeira e ao exercício de meus direitos como consumidor.

Solicito a exclusão imediata do apontamento em questão e a confirmação formal da regularização no prazo mais breve possível.

Caso a situação não seja solucionada administrativamente, adotarei as medidas cabíveis junto aos órgãos de defesa do consumidor e, se necessário, perante o Poder Judiciário, para garantir o cumprimento da legislação e a reparação dos prejuízos eventualmente sofridos.

Aguardo manifestação.

Atenciosamente,
*****",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/solicitacao-de-exclusao-de-apontamento-indevido-junto-ao-serasa-devido-a-registro-de-debito-superior-a-5-anos_F4xaSmcSRh30tjL2/,,Problema Financeiro
"Localiza: Cobrança de multa indevida apesar de comprovante de pagamento da Zona Azul, com mau atendimento virtual.",NÃO RESPONDIDA,Belo Horizonte,MG,"Sou cliente ha anos da Localiza, e percebo que o atendimento via os canais portal do cliente telefone ou whatsapp nao acompanha o atendimento prestado quando estamos pessoalmente nas lojas.
Estou com um problema na minha ultima locaçao de veiculo do dia 22 a 24 de maio de 26 em Belo Horizonte.
Fui surpreendido com uma multa de estacionamento, mas tenho o comprovante de que paguei a zona azul pelo aplicativo no momento que estacionei o veiculo. Estou tentando sem sucesso resolver isso uma vez que a Localiza ja fez o debito no meu cartao de credito sendo que tenho como comprovar que estacionei corretamente pagando o zona azul. Total descaso no atendimento virtual.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/localiza-cobranca-de-multa-indevida-apesar-de-comprovante-de-pagamento-da-zona-azul-com-mau-atendimento-virtual_hwz80sTSHanhsO3h/,,Falha no App / Reserva
Cobrança indevida após locação de veículo e falta de resposta do atendimento ao cliente.,NÃO RESPONDIDA,Jundiaí,SP,"Realizei a locação de um veículo em abril, porém hoje em junho recebi uma cobrança, sendo que realizei todo o pagamento no ato da locação. Como aluguel, taxas, limpeza e seguro, na devolução entreguei com tanque cheio e paguei os pedagios. Tento contato com o atendimento ao cliente e sem resposta.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-apos-locacao-de-veiculo-e-falta-de-resposta-do-atendimento-ao-cliente_tkD2vWyBrcqirFDn/,,Sinistro e Acidente
Cobrança indevida de multa por cancelamento tardio causado por falha comprovada no sistema da Localiza,NÃO RESPONDIDA,Curitiba,PR,"Realizei uma reserva pela Localiza e, ao tentar cancelá-la dentro do prazo de 48 horas exigido pela empresa, me deparei com o aplicativo completamente indisponível, exibindo a mensagem: Desculpe! No momento o Aplicativo está indisponível, alguns sistemas estão em manutenção, tente novamente em alguns minutos!. Possuo print desta tela com horário e data visíveis, comprovando a falha técnica no período em que tentei cancelar.
Tentei efetuar o cancelamento em diferentes horários, sem sucesso. A Localiza não enviou qualquer comunicação informando que o sistema havia voltado a funcionar, o que me impediu de retomar o processo a tempo.
Fui notificado da reserva apenas um dia antes da data de utilização e, ao tentar cancelar, fui cobrado pela taxa de cancelamento tardio.
A cobrança é indevida. O impedimento foi causado por falha técnica da própria Localiza, documentada em imagem. A empresa não pode aplicar penalidade ao consumidor por consequência de uma falha que ela mesma gerou, conduta que viola o art. 14 do Código de Defesa do Consumidor, que responsabiliza o fornecedor por defeitos na prestação de serviços.
Exijo o estorno integral do valor cobrado e aguardo resposta em até 5 dias úteis. Caso não haja solução, registrarei reclamação no Procon e no portal consumidor.gov.br, anexando a prova da indisponibilidade do sistema.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-indevida-de-multa-por-cancelamento-tardio-causado-por-falha-comprovada-no-sistema-da-localiza_I55jMiiy8cOGQ1l4/,,Problema Financeiro
Cobrança duplicada de portinhola de gasolina e mau atendimento ao cliente,NÃO RESPONDIDA,São Caetano do Sul,SP,"Aluguei um carro que caiu a portinhola da gasolina sem motivo durante minha locação. Parei no posto, enchi o tanque e peguei estrada. Quando cheguei estava sem. Na devolução me cobraram e eu paguei a indenização. Dois meses depois estão me cobrando novamente. Respondi pelo e-mail o caso e me respondendo que nesse caso só ligando. Liguei e fiquei 10 minutos aguardando atendimento. Quando atendeu caiu a linha. Liguei novamente e estou nesse momento abrindo contestação. Perdendo meu tempo por um erro de vocês. Pessimo atendimento. Excluam essa cobrança duplicada imediatamente ou vou no procon",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-duplicada-de-portinhola-de-gasolina-e-mau-atendimento-ao-cliente_QUVrLYhrk1wyWjUn/,,Sinistro e Acidente
"Localiza: Atraso na entrega de chave reserva e recibo de compra de carro, gerando risco de multa.",NÃO RESPONDIDA,Duque de Caxias,RJ,"Fiz a compra de um carro na localiza há 1 mês atrás e até agora não chegou chave reserva e meu recibo de compra e venda, bem provável que eu tenha que PAGAR UMA MULTA POR CULPA DA EMPRESA pq já vai passar de 1 mês(prazo máximo p transferência) e nada deles enviarem ou resolverem meu problema. Eles me dizem que enviaram por Sedex, o Sedex diz que ngm recebeu e voltou, o que é praticamente impossível já que tem gente 24 hrs por dia no endereço, ou até em lojas ao lado. Sigo sem respostas, sigo tentando resolver e nada. Se tiver que pagar alguma multa por isso, a empresa será processada!",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/localiza-atraso-na-entrega-de-chave-reserva-e-recibo-de-compra-de-carro-gerando-risco-de-multa_tqSAmWae96IEpowr/,,Falha no App / Reserva
Demora excessiva e informações conflitantes sobre o pagamento do conserto de veículo após acidente.,NÃO RESPONDIDA,Guaratuba,PR,Sofri um acidente dia 16/04/26 onde uma condutora com um veiculo localiza cortou minha preferencial.. ja vai fazer 2 meses que estou sem meu carro andando ape tenho 2 filhos pequenos tive um mudar minha filha de escola por causa da distância enfim.. cada dia que ligo ou mando mensagem os atendentes me passam prazos diferentes para pagamento do valor do concerto do meu carro desde o dia 21/05 as atendentes me passam o prazo de 15 dias corridos inclusive liguei e tenho a ligação gravada do dia 01/06 a atendente me informando que o prazo final pra pagamento seria dia 05/06. Hoje liguei para confirmar e a outra atendente ja me passou 15 dias uteis o prazo do dia 11/06 total falta de respeito comigo e despreparo das atendentes pois cada um passa uma informação diferente. Placa do veiculo que bateu foi *****,https://www.reclameaqui.com.br/localiza-aluguel-de-carros/demora-excessiva-e-informacoes-conflitantes-sobre-o-pagamento-do-conserto-de-veiculo-apos-acidente_KQhnyhWp3-vTYqWq/,,Sinistro e Acidente
Reserva de veículo não encontrada na loja e mau atendimento,NÃO RESPONDIDA,Rio de Janeiro,RJ,"Bom dia, tudo bem?

Cheguei à unidade da Localiza no endereço (shopping da Gávea) informado para retirada do veículo, porém fui surpreendido com a informação de que não existe qualquer registro da minha reserva nessa loja.

Além do transtorno causado pelo deslocamento e pela perda de tempo, fiquei bastante insatisfeito com o atendimento recebido. A atendente ***** limitou-se a informar que eu deveria me dirigir a outro endereço, sem demonstrar qualquer interesse em compreender a situação ou buscar uma solução adequada para o problema.

Solicitei falar com a responsável pela unidade, *****, porém fui informado de que ela não estava no local e, por esse motivo, não poderia me atender. Em nenhum momento me foi oferecido suporte, alternativa imediata ou qualquer tipo de assistência para minimizar os impactos dessa situação.

Reforço que compareci exatamente ao endereço informado na reserva/anexo encaminhado e, até o momento, sigo sem o veículo que deveria estar disponível para retirada. Estou sendo diretamente prejudicado, pois possuo compromissos profissionais agendados e contava com o carro para cumprir minha programação.

Solicito uma tratativa urgente para resolução do problema, bem como esclarecimentos sobre o ocorrido, uma vez que a experiência vivenciada está muito abaixo do padrão de atendimento que se espera da Localiza.

Fico no aguardo de um retorno imediato.",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/reserva-de-veiculo-nao-encontrada-na-loja-e-mau-atendimento_2FuIjADCUt3SKF1v/,,Falha no App / Reserva
Cobranças Indevidas Após Aluguel de Carro e Tentativas Frustradas de Contato,NÃO RESPONDIDA,São Paulo,SP,"Fiz o aluguel de 4 dias de um carro e é expandi o contrato para mais dias. O carro foi devolvido normalmente o valor foi descontado no cartão e pago parte no pix, porém estão surgindo diversas cobranças indevidas nos cartões usados para alugar. Um dos cartões eu cancelei por conta de diversas tentativas em dias seguidos porém sem sucesso o outro já foi descontado. Somados os valores lançados na fatura já somam 640 reais. Estou buscando respostas mais sem sucesso.
Estou com as fotos e comprovantes das transações",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobrancas-indevidas-apos-aluguel-de-carro-e-tentativas-frustradas-de-contato_TvTsdBudnHmot69U/,,Problema Financeiro
"Cobrança Abusiva por Reparo de Danos em Veículo Alugado - Portaria Traseira Amassada, Para-choque Danificado (4cm do para-choque) e uma troca de calota, apenas!",RESPONDIDA,Salvador,BA,"Bom dia, no dia 30 aluguei um carro. Tive uma batida, amassou a porta traseira, e 4cm de uma aréa pequena do para choque (a funcionaria mesmo disse que era apenas reparo) e uma calota que quebrou, Apenas, não danificou a porta, é mais coisa de funilaria e pronto, me cobraram mais de 5mil nisso, um absurdo!! A porta tem conserto e não querem fazer por má vontade e cobrar mais caro, por isso irei partir pra parte judicial, vou pedir a porta que tá ruim consertar ela, juntar provas e abrir Ação de Indenização por Cobrança Indevida/Abusiva. O problema não é o valor ao todo, mas sim a pachorra de dizer que a porta não tem conserto e obs: o técnico passou uma mão pela porta e disse que não tinha conserto, irei pedir todo relatório, detalhado sobre esse caso, um absurdo, conheço oficina de esquina que faria o serviço brincando em 2 dias, se os da localiza não consegue, precisa rever as oficinas que estão levando. Se quiser passo o contato do rapaz pra trabalhar na oficina!! Irei encaminhar duas fotos, uma da porta da localiza que eles não conseguem arrumar e outra que o rapaz aqui perto arrumou, beira o ridículo!!",https://www.reclameaqui.com.br/localiza-aluguel-de-carros/cobranca-abusiva-por-reparo-de-danos-em-veiculo-alugado-portaria-traseira-amassada-para-choque-danificado-4cm-do-para-choque-e-uma-troca-de-calota-apenas_JomzKOUkXnYnuAdb/,,Sinistro e Acidente
